frame,video_time_s,time_s,disk_mass_msun,dynamical_ejecta_mass_msun,post_merger_ejecta_mass_msun,total_ejecta_mass_msun,magnetic_to_internal_energy_ratio,neutrino_luminosity_erg_s,north_jet_luminosity_erg_s,south_jet_luminosity_erg_s,north_jet_strength,south_jet_strength,jet_half_opening_angle_deg,black_hole_horizon_radius_km
0,0.0,0.014960000000000001,0.062,0.0016,0.0,0.0016,0.00017939169903949593,9.139126946203467e+52,2.2854944367723404e+45,5.329834998934678e+46,0.00022854944367723404,0.005329834998934678,5.5,6.748804160013962
1,0.125,0.01657,0.062,0.0016,0.0,0.0016,0.00019931260492798972,9.053564768974942e+52,2.3962960747879074e+45,5.732189141440774e+46,0.00023962960747879076,0.0057321891414407735,5.5,6.748804160013962
2,0.25,0.018420000000000002,0.062,0.0016,0.0,0.0016,0.00022488631656461647,8.957522314071798e+52,2.5302613756573136e+45,6.231927469977325e+46,0.0002530261375657314,0.006231927469977325,5.5,6.748804160013962
3,0.375,0.01957,0.062,0.0016,0.0,0.0016,0.00024237142005601836,8.899118745833471e+52,2.61728476923113e+45,6.56415659131225e+46,0.000261728476923113,0.006564156591312251,5.5,6.748804160013962
4,0.5,0.02142,0.062,0.0016,0.0,0.0016,0.00027331591506341767,8.807389360676553e+52,2.7636010619916692e+45,7.135906160335623e+46,0.00027636010619916694,0.007135906160335624,5.5,6.748804160013962
5,0.625,0.023260000000000003,0.062,0.0016,0.0,0.0016,0.0003078874700211366,8.71905760341761e+52,2.9172367246002066e+45,7.753569457556154e+46,0.0002917236724600207,0.007753569457556154,5.5,6.748804160013962
6,0.75,0.02511,0.062,0.0016,0.0,0.0016,0.00034689927410927235,8.633389337548917e+52,3.080316319636415e+45,8.428040062573283e+46,0.0003080316319636415,0.008428040062573283,5.5,6.748804160013962
7,0.875,0.02649,0.062,0.0016,0.0,0.0016,0.0003790610022043601,8.571683822705047e+52,3.207871934735059e+45,8.968747819494361e+46,0.0003207871934735059,0.008968747819494362,5.5,6.748804160013962
8,1.0,0.02834,0.062,0.0016,0.0,0.0016,0.00042669403430331483,8.492119179817261e+52,3.387193137152459e+45,9.747886380488203e+46,0.0003387193137152459,0.009747886380488204,5.5,6.748804160013962
9,1.125,0.03018,0.062,0.0016,0.0,0.0016,0.0004797094678802981,8.416822645076351e+52,3.575483482103549e+45,1.0589223818312481e+47,0.00035754834821035493,0.010589223818312482,5.5,6.748804160013962
10,1.25,0.03203,0.062,0.0016,0.0,0.0016,0.0005392811152292144,8.345265242090822e+52,3.7753465424134054e+45,1.1507502734994324e+47,0.0003775346542413406,0.011507502734994325,5.5,6.748804160013962
11,1.375,0.033409999999999995,0.062,0.0016,0.0,0.0016,0.0005881921429776364,8.29477524187597e+52,3.931671975739e+45,1.2243336501775597e+47,0.00039316719757390004,0.012243336501775597,5.5,6.748804160013962
12,1.5,0.03525,0.062,0.0016,0.0,0.0016,0.0006598900949121876,8.231537804934035e+52,4.150216735393617e+45,1.3297163407753142e+47,0.0004150216735393617,0.013297163407753143,5.5,6.748804160013962
13,1.625,0.0371,0.062,0.0016,0.0,0.0016,0.0007400976353407953,8.172944191372602e+52,4.382192261637618e+45,1.4446841267901986e+47,0.0004382192261637618,0.014446841267901987,5.5,6.748804160013962
14,1.75,0.038939999999999995,0.062,0.0016,0.0,0.0016,0.0008286818461918519,8.119933467437496e+52,4.625767920491575e+45,1.5687319366755834e+47,0.0004625767920491575,0.015687319366755836,5.5,6.748804160013962
15,1.875,0.04079,0.062,0.0016,0.0,0.0016,0.0009273684673653143,8.072229031173649e+52,4.88431129588507e+45,1.7040082176569583e+47,0.000488431129588507,0.017040082176569583,5.5,6.748804160013962
16,2.0,0.04217,0.062,0.0016,0.0,0.0016,0.0010077285284567198,8.040467628020783e+52,5.0865321670373465e+45,1.8123204083867184e+47,0.0005086532167037347,0.018123204083867184,5.5,6.748804160013962
17,2.125,0.044020000000000004,0.062,0.0016,0.0,0.0016,0.0011251217815547926,8.003227033724756e+52,5.3708147353178486e+45,1.968182013958063e+47,0.0005370814735317849,0.01968182013958063,5.5,6.748804160013962
