N,f_over_Mpl,f_GeV,epsilon,d_g,eta_peak,M_GeV,TR_GeV,m_eV,Omega_h2,slope
6,1.8928720334405837e-07,460914340142.7821,5.110754490289577e-12,1e-06,32.34085501740369,52921.81172445895,5292181.172445895,7.5e-29,8.253332908270476e-16,0.49999999999999994
6,1.6870239755710477e-07,410790338051.5501,4.55496473404183e-12,1e-06,36.28703615743125,59379.24938993707,5937924.938993706,7.5e-29,6.555855359618284e-16,0.49999999999999994
6,1.503561700881818e-07,366117274164.7227,4.05961659238091e-12,1e-06,40.714724220560434,66624.61361810796,6662461.361810796,7.5e-29,5.207501014913317e-16,0.49999999999999994
6,1.340050776452891e-07,326302364066.279,3.6181370964228067e-12,1e-06,45.68267193728391,74754.045990255,7475404.599025501,7.5e-29,4.1364650885010035e-16,0.49999999999999994
6,1.194321511660491e-07,290817288089.3296,3.224668081483327e-12,1e-06,51.25680095545507,83875.41913480396,8387541.913480396,7.5e-29,3.2857110117476094e-16,0.49999999999999994
6,1.0644401677007285e-07,259191180835.12738,2.8739884527919675e-12,1e-06,57.511076580502966,94109.76813156182,9410976.813156182,7.5e-29,2.6099330277756246e-16,0.49999999999999994
6,9.486832980505142e-08,231004383075.3002,2.5614449047363886e-12,1e-06,64.52848925009788,105592.89657369137,10559289.657369137,7.5e-29,2.0731434947016043e-16,0.49999999999999994
6,8.455148793793368e-08,205882873128.86853,2.2828901743242103e-12,1e-06,72.40215576683566,118477.17859888019,11847717.859888019,7.5e-29,1.6467564124764546e-16,0.49999999999999994
6,7.535659294528749e-08,183493303821.77505,2.0346280095227628e-12,1e-06,81.23655490163489,132933.58080157317,13293358.080157317,7.5e-29,1.3080651141433145e-16,0.49999999999999994
6,6.716163415705016e-08,163538579172.41714,1.8133641222403548e-12,1e-06,91.14891376354912,149153.93085580654,14915393.085580654,7.5e-29,1.039033053021871e-16,0.49999999999999994
6,5.985786944906651e-08,145753912108.47696,1.6161624751247963e-12,1e-06,102.27076333228011,167353.46295189357,16735346.295189356,7.5e-29,8.253332908270477e-17,0.49999999999999994
6,5.3348382301167704e-08,129903310903.34335,1.4404063221315283e-12,1e-06,114.74968379436703,187773.67382336484,18777367.382336482,7.5e-29,6.555855359618285e-17,0.49999999999999994
6,4.754679577383344e-08,115776447709.28442,1.2837634858935031e-12,1e-06,128.7512628425947,210685.52726189283,21068552.72618928,7.5e-29,5.2075010149133167e-17,0.49999999999999994
6,4.237612633868268e-08,103185867634.69232,1.1441554111444325e-12,1e-06,144.4612929240739,236393.04964218306,23639304.964218307,7.5e-29,4.1364650885010024e-17,0.49999999999999994
6,3.7767762353825e-08,91964501331.56387,1.0197295835532752e-12,1e-06,162.08823659313282,265237.36416724994,26523736.416724995,7.5e-29,3.28571101174761e-17,0.49999999999999994
6,3.366055362905897e-08,81963448086.75859,9.088349479845923e-13,1e-06,181.8659926827574,297601.2173660641,29760121.736606408,7.5e-29,2.6099330277756244e-17,0.49999999999999994
6,3.000000000000001e-08,73050000000.00003,8.100000000000005e-13,1e-06,204.05699999999996,333914.0579074544,33391405.790745437,7.5e-29,2.073143494701604e-17,0.49999999999999994
6,2.6737528144012386e-08,65105881030.67016,7.219132598883346e-13,1e-06,228.95571972949566,374657.73512301804,37465773.5123018,7.5e-29,1.6467564124764542e-17,0.49999999999999994
6,2.3829847041728472e-08,58025677546.60883,6.434058701266689e-13,1e-06,256.89254275448206,420372.89285500307,42037289.28550031,7.5e-29,1.3080651141433136e-17,0.49999999999999994
6,2.1238373531524127e-08,51715439549.26125,5.734360853511516e-13,1e-06,288.23817374308555,471666.14347161615,47166614.34716161,7.5e-29,1.0390330530218709e-17,0.49999999999999994
6,1.8928720334405835e-08,46091434014.278206,5.110754490289577e-13,1e-06,323.408550174037,529218.1172445895,52921811.72445895,7.5e-29,8.253332908270473e-18,0.49999999999999994
6,1.687023975571048e-08,41079033805.155014,4.55496473404183e-13,1e-06,362.8703615743124,593792.4938993707,59379249.389937066,7.5e-29,6.555855359618286e-18,0.49999999999999994
6,1.503561700881818e-08,36611727416.47227,4.059616592380909e-13,1e-06,407.1472422056044,666246.1361810797,66624613.61810797,7.5e-29,5.207501014913316e-18,0.49999999999999994
6,1.340050776452891e-08,32630236406.627895,3.6181370964228064e-13,1e-06,456.8267193728392,747540.4599025501,74754045.99025501,7.5e-29,4.1364650885010035e-18,0.49999999999999994
